pve,sample_size,scenario,power
0.02,500,Outbred 50000 Cis-only,0.002
0.02,750,Outbred 50000 Cis-only,0.01
0.02,1000,Outbred 50000 Cis-only,0.067
0.02,1500,Outbred 50000 Cis-only,0.263
0.02,2000,Outbred 50000 Cis-only,0.631
0.02,3000,Outbred 50000 Cis-only,0.959
0.02,5000,Outbred 50000 Cis-only,1
0.05,100,Outbred 50000 Cis-only,0
0.05,150,Outbred 50000 Cis-only,0
0.05,200,Outbred 50000 Cis-only,0.001
0.05,300,Outbred 50000 Cis-only,0.018
0.05,400,Outbred 50000 Cis-only,0.069
0.05,500,Outbred 50000 Cis-only,0.134
0.05,750,Outbred 50000 Cis-only,0.574
0.05,1000,Outbred 50000 Cis-only,0.878
0.05,1500,Outbred 50000 Cis-only,0.994
0.05,2000,Outbred 50000 Cis-only,1
0.05,3000,Outbred 50000 Cis-only,1
0.05,5000,Outbred 50000 Cis-only,1
0.1,100,Outbred 50000 Cis-only,0.001
0.1,150,Outbred 50000 Cis-only,0.011
0.1,200,Outbred 50000 Cis-only,0.074
0.1,300,Outbred 50000 Cis-only,0.32
0.1,400,Outbred 50000 Cis-only,0.68
0.1,500,Outbred 50000 Cis-only,0.888
0.1,750,Outbred 50000 Cis-only,0.996
0.1,1000,Outbred 50000 Cis-only,1
0.1,1500,Outbred 50000 Cis-only,1
0.1,2000,Outbred 50000 Cis-only,1
0.1,3000,Outbred 50000 Cis-only,1
0.1,5000,Outbred 50000 Cis-only,1
